letter order count
E 1 851.5 
S 2 811.8 
R 3 804.5 
A 4 800.75 
O 5 778.95 
N 6 772.3 
I 7 771.85 
T 8 747.05 
D 9 735.35 
L 10 731.15 
U 11 674.15 
H 12 655.45 
C 13 644.55 
G 14 639.45 
M 15 633.75 
P 16 631.05 
F 17 587.4 
B 18 578.45 
W 19 575.85 
Y 20 560.35 
V 21 546.1 
K 22 440.5 
J 23 270.4 
Z 24 264.9 
X 25 244.7 
Q 26 230.85 
