letter order count
E 1 636.85 
T 2 565.7 
A 3 561.9 
R 4 559.0 
O 5 549.1 
S 6 548.15 
I 7 527.55 
N 8 524.05 
L 9 517.9 
H 10 487.3 
D 11 470.7 
U 12 459.8 
M 13 426.15 
C 14 425.55 
P 15 386.25 
G 16 382.3 
Y 17 377.55 
W 18 359.2 
F 19 343.8 
B 20 340.05 
V 21 318.5 
K 22 269.8 
J 23 192.95 
X 24 111.25 
Q 25 63.0 
Z 26 34.0 
