letter order count
E 1 658.65 
T 2 575.7 
N 3 571.25 
R 4 569.95 
S 5 536.25 
A 6 529.7 
I 7 519.1 
H 8 514.95 
L 9 504.6 
U 10 484.95 
O 11 472.05 
G 12 465.1 
C 13 438.85 
M 14 434.3 
B 15 415.35 
D 16 397.35 
F 17 387.6 
W 18 361.45 
K 19 330.8 
Z 20 309.85 
P 21 295.5 
V 22 253.1 
J 23 208.5 
Y 24 72.0 
Q 25 12.0 
X 26 2.0 
