letter order count
E 1 874.3 
N 2 787.4 
A 3 732.2 
O 4 711.5 
D 5 710.9 
I 6 707.4 
T 7 705.1 
R 8 701.4 
H 9 634.0 
L 10 630.0 
G 11 620.4 
S 12 596.7 
Z 13 579.3 
M 14 575.1 
J 15 563.0 
K 16 558.1 
V 17 545.9 
W 18 524.0 
U 19 523.9 
P 20 488.5 
B 21 482.1 
C 22 460.6 
F 23 378.0 
Y 24 28.0 
X 25 2.0 
Q 26 0.0 
