letter order count
A 1 720.15 
I 2 648.8 
N 3 629.75 
T 4 628.2 
E 5 611.45 
S 6 588.05 
O 7 574.75 
U 8 567.85 
L 9 561.6 
K 10 559.65 
M 11 522.25 
R 12 479.4 
H 13 462.3 
V 14 449.65 
P 15 422.95 
Y 16 410.9 
J 17 371.45 
D 18 267.1 
C 19 179.0 
B 20 146.5 
G 21 104.95 
Z 22 83.0 
F 23 5.0 
W 24 1.0 
X 25 1.0 
Q 26 0.0 
