letter order count
E 1 719.05 
O 2 613.7 
N 3 604.95 
R 4 600.75 
A 5 600.45 
T 6 594.75 
I 7 558.85 
D 8 552.55 
L 9 540.45 
G 10 520.1 
S 11 517.1 
H 12 458.55 
K 13 456.35 
M 14 455.0 
V 15 442.65 
U 16 435.8 
W 17 427.65 
J 18 407.7 
Z 19 407.45 
C 20 402.75 
B 21 402.6 
P 22 368.95 
F 23 339.6 
Y 24 109.65 
Q 25 8.0 
X 26 3.0 
