letter order count
E 1 38681 
S 2 28620 
R 3 27041 
A 4 25885 
O 5 22218 
N 6 22037 
I 7 21907 
T 8 18697 
D 9 17440 
L 10 16889 
U 11 10992 
H 12 9929 
C 13 9269 
G 14 8784 
M 15 8395 
P 16 8361 
F 17 5914 
B 18 5548 
W 19 5420 
Y 20 5010 
V 21 4632 
K 22 2134 
J 23 576 
Z 24 559 
X 25 488 
Q 26 425 
