letter order count
E 1 762.35 
R 2 659.25 
I 3 647.75 
T 4 635.6 
N 5 631.95 
A 6 627.55 
S 7 626.35 
O 8 625.55 
U 9 608.85 
L 10 588.6 
M 11 543.2 
C 12 528.3 
P 13 511.4 
D 14 482.85 
V 15 445.4 
H 16 403.9 
B 17 395.45 
F 18 387.5 
G 19 385.85 
J 20 333.0 
Q 21 320.55 
X 22 242.55 
Y 23 240.8 
Z 24 230.65 
W 25 110.05 
K 26 75.0 
